"1","2023-03-27 00:01:45","8","15.99","9.19","3","7.71","9.05","8","217","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"2","2023-03-27 00:18:40","7","9.99","12.01","1","11.59","11.67","7","1008","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"3","2023-03-27 00:18:47","9","4.43","2.34","1","11.59","11.01","9","5","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"4","2023-03-27 00:19:00","1","11.59","13.60","2","35.99","34.18","2","10","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"5","2023-03-27 00:27:10","9","4.43","3.81","1","11.59","11.70","9","489","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"6","2023-03-27 00:27:17","11","4.28","3.47","7","9.99","7.32","11","6","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"7","2023-03-27 00:27:31","9","4.43","3.81","16","5.99","5.79","16","12","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"8","2023-03-27 00:28:48","10","3.42","4.24","4","10.24","9.91","10","75","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"9","2023-03-27 00:29:01","2","35.99","42.99","13","4.38","2.82","13","6","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"10","2023-03-27 00:32:16","10","3.42","5.14","16","5.99","9.32","10","191","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"11","2023-03-27 00:33:04","5","10.78","7.76","13","4.38","2.21","13","46","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"12","2023-03-27 01:03:06","27","10.99","8.86","30","12.49","16.10","27","12","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"13","2023-03-27 01:03:48","5","10.78","3.65","19","6.99","5.86","5","38","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"14","2023-03-27 01:03:56","22","3.68","3.13","21","4.78","1.30","21","6","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"15","2023-03-27 01:05:08","41","15.99","21.38","13","4.38","6.51","41","71","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"16","2023-03-27 01:05:35","33","17.99","4.91","45","8.49","14.08","33","24","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"17","2023-03-27 01:05:48","15","11.29","18.54","18","5.49","7.25","15","12","72.183.103.4","1b838bbc-8040-43b9-aa99-d9574777620e"
"18","2023-03-27 01:06:42","30","12.49","4.19","9","4.43","4.25","30","8","72.183.103.4","39c0119a-84ee-4585-b4e9-5f1d25205cbd"
